@relation 'train_Egokituta-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToString-C1-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute etiqueta {DESC,ENTY,ABBR,HUM,NUM,LOC}
@attribute text string

@data
LOC,'Where is Ocho Rios '
ABBR,'What is the abbreviation of General Motors '
DESC,'What s the staff of life mentioned in the Lord s Prayer '
NUM,'How many thousands of students attend the University of Massachusetts '
HUM,'What actress holds the record for the most appearances on the cover of Life '
HUM,'What famous model was married to Billy Joel '
LOC,'What desert has the highest sand dunes '
DESC,'What is the origin of the word  sideburns  '
HUM,'What actor came to dinner in Guess Who s Coming to Dinner '
DESC,'What is  the only cigarette made with no leftovers  '
NUM,'How many flavors of ice cream does Howard Johnson s have '
HUM,'Who s the twin brother of the Greek goddess Artemis '
ENTY,'What is a fear of cholera '
NUM,'How many games are played in a five-team round-robin tournament '
ENTY,'What magazine gives us the cream '
ENTY,'What is a fear of sleep '
HUM,'Who was Scrooge s dead partner in Dickens s A Christmas Carol '
NUM,'When did the vesuvius last erupt '
LOC,'Where was Pythagoras born '
ENTY,'What fruit does the ficus produce '
DESC,'What caused an adjournment of the 25th anniversary session of the United Nations General Assembly '
HUM,'Who invented the process to make condensed milk '
ENTY,'What are the 7 Wonders of the World '
LOC,'What s the tallest building in New York City '
HUM,'Who declared :  I am down on whores and I shan t stop ripping them  '
DESC,'What is the definition of cecum '
ENTY,'What s the official animal of Canada '
DESC,'What is pasta '
ENTY,'What is the Islamic counterpart to the Red Cross '
DESC,'Where did Indian Pudding come from '
DESC,'How can I get someone s email address '
LOC,'What Russian seaport has a name meaning  Lord of the East  '
ENTY,'What line of candy products included Super Skrunch and Peanut Butter Oompas '
LOC,'What US state boasts Stone Mountain '
ENTY,'What is a fear of machinery '
HUM,'Who did Bobby Fischer beat to win the world chess championship '
ENTY,'Which is heavier - cream or milk '
NUM,'How many CDs has Garth Brooks sold '
HUM,'Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy '
HUM,'What information can you tell me about actor James Cromwell '
NUM,'What was the number of assassinations and attempts to assassinate in the US since 1865 '
LOC,'Where is there information on the novel  El Cid  '
DESC,'Why do people shake hands to show friendliness '
DESC,'What was an  Asiento  '
HUM,'Who built the first pyramid '
DESC,'What is  flintknapping  '
ABBR,'What does the word LASER mean '
LOC,'Where was the largest concentration camp in World War II '
NUM,'What is the date of Boxing Day '
HUM,'In Dana s  Two Years Before the Mast '
LOC,'Name the highest mountain '
HUM,'What college football team did Knute Rockne build into a power '
NUM,'What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O Hara '
DESC,'What is Compaq s mission statement '
NUM,'When was Babe Ruth born '
HUM,'Who was President of Costa Rica in 1994 '
DESC,'How did the bikini bathing suite get its name '
LOC,'What was the first town to be chartered in Vermont '
ENTY,'In what Olympic Games did Nadia Comaneci become popular '
NUM,'How hot should the oven be when baking Peachy Oat Muffins '
DESC,'What is a philanthropist '
LOC,'What country has been called The Queen of the Antilles '
ENTY,'What is the fear of frogs '
LOC,'What constellation represents a hunter with club and shield '
ENTY,'What sign is The Water Carrier the zodiacal symbol for '
NUM,'How many three-letter permutations can be made from the four letters : c '
ENTY,'What language is mostly spoken in Brazil '
NUM,'How long is human gestation '
DESC,'What is a bourdon tube '
DESC,'How do I sing like Elvis Presley '
ENTY,'What were popular songs and types of songs in the 1920s '
DESC,'What is commonly considered the fifth sense '
NUM,'How many cards are dealt to each player in Gin Rummy '
DESC,'How do you make dumplings '
DESC,'Why do roosters sing at five o clock in the morning '
NUM,'The italian artist '
ENTY,'What incident of 1933 did the German Nazis use to justify emergency decrees '
ENTY,'What is the brand name of a chemical used to control ripening '
HUM,'What monarch signed the Magna Carta '
DESC,'How do you make a paintball '
DESC,'What are the major differences in the Catholic and Methodist religions '
ENTY,'What cancer is commonly associated with AIDS '
DESC,'What is the definition of a cascade '
HUM,'Who declared :  I think I ll go out and milk the elk  '
HUM,'Who was Whitcomb Judson '
HUM,'What kind of company is 7-Eleven '
NUM,'How many miles are there between Tel Aviv '
DESC,'Shea and Gould closed their Los Angeles office for what reason '
DESC,'What did the Confederate Constitution say about slavery '
ENTY,'What is a fear of touching '
HUM,'Who invented silly putty '
DESC,'How does it make its colors '
NUM,'What is the exchange rate between England and the US '
HUM,'Who was the lyricist and who was the composer between Gilbert and Sullivan '
DESC,'How do ants have sex '
LOC,'In what US state was the first woman governor elected '
HUM,'Who is Mia Farrow s mother '
HUM,'Whom did Friz Freleng add to the Warner Bros cartoon ranks '
ENTY,'What is  the soft drink for adults  '
LOC,'What South American city has the world s highest commercial landing field '
DESC,'How can I find online spelling '
HUM,'What was the name given the 6 '
NUM,'What is the acreage of the Chappellet vineyard '
ENTY,'What anesthetic did Queen Victoria allow to be used for the birth of her seventh child '
DESC,'How do you write MLA style bibliographies for an Internet source '
NUM,'How old was George Washington when he died '
ENTY,'What software offers inventors use of CAD-like design '
ENTY,'What magazine paid Ernest Hemingway $15 a word to write a bullfighting article '
DESC,'What is the Kashmir issue '
ENTY,'The corpus callosum is in what part of the body '
NUM,'How long does a fly live '
DESC,'What is hebephrenia '
LOC,'Where are all European and American eels born '
NUM,'How big is a normal size penis for a 15-year-old '
DESC,'Where did the term  86ed  come from '
HUM,'What professional cricketer s son wrote The War of the Worlds in 1898 '
HUM,'Who was Red Grange '
DESC,'What is leukemia '
LOC,'Where did bocci originate '
LOC,'What are the four largest mountain ranges in the continental United States '
HUM,'What poet wrote :   I have promises to keep '
HUM,'What two presidents of the US published books of poetry '
ENTY,'What star-faring race brought about the Inhumans on Marvel s Earth '
LOC,'What is the tallest building in Japan '
ENTY,'What are some translations of the phrase  Thank-you  '
NUM,'How much do drugs to treat tuberculosis cost '
LOC,'Where is Mozambique located '
LOC,'What European country boasts the city of Furth '
HUM,'Who was the architect of Central Park '
DESC,'What effect does friction have on perpetual motion '
ENTY,'What s the largest US agricultural crop by weight '
HUM,'Which Ventura County police department seized the largest cocaine shipment in it s history '
LOC,'What famed London criminal court was once a feudal castle '
ENTY,'What operating system do IBM-compatible machines use '
DESC,'What is yohimbine '
ENTY,'What s a male witch called '
NUM,'When was John D Rockefeller born '
DESC,'What are the seven deadly sins '
ENTY,'What must be exceeded to produce a sonic boom '
ENTY,'What 1953 film won Frank Sinatra a best supporting actor Oscar '
LOC,'What country is the origin of the band the Creeps '
DESC,'What is June s birthstone '
LOC,'Where can I get information and statistics on countries and nations '
HUM,'What American actress was the first to be called a  vamp  '
NUM,'How much would a black-and-white 1-cent stamp be worth '
ABBR,'What s the abbreviation for trinitrotoluene '
NUM,'How many people was Randy Craft convicted of murdering '
HUM,'Who was the first woman in space '
DESC,'What is idealab ! '
DESC,'Why did several San Diego schools remove apples from students menus '
ABBR,'What do the letters DC stand for in Washington '
HUM,'Who played the title role in My Favorite Martian '
NUM,'How many calories are there in a Big Mac '
DESC,'What is a Mexican hairless '
NUM,'What year was the setting for American Graffiti '
LOC,'What three European countries begin with the letter A '
LOC,'Where are good science sites on the Internet '
HUM,'What Asian spiritual and political leader was married at the age of 13 '
LOC,'What s the second-highest mountain in the world '
DESC,'What is the English meaning of caliente '
HUM,'What well-known music personality is the father of an adopted son named Hans Christian Henderson '
HUM,'Who portrayed The Cowardly Lion in The Wizard of Oz '
ENTY,'What TV show premiered on January 15 '
DESC,'What does the Georgetown  Hoya  mean '
HUM,'What is the name of the company that manufactures the  American Girl  doll collection '
DESC,'Why are there 12 people on a jury in criminal cases '
DESC,'How do you get rid on woodpeckers '
DESC,'What is a First World country '
NUM,'How many different types of skunks are there '
ENTY,'What is a golf ball made of '
LOC,'What London street is the home of British journalism '
NUM,'What is the per-capita income of Colombia '
HUM,'Who invented the toothbrush '
DESC,'What does an emperor do '
ENTY,'In what deodorant commercial did tenants have adjoining medicine cabinets '
ENTY,'What drink is formed of tequila '
HUM,'What s the name of Tom Sawyer s aunt with whom he lives '
DESC,'How does lightning travel '
ENTY,'What color is the lipstick on Boy George s wax lips at London s Madame Tussaud s '
HUM,'What was the name of  The Muppets  creator '
LOC,'What nationality is Gorbachev '
NUM,'How much Coca Cola is drunk in one day in the world '
DESC,'How do you ask questions '
HUM,'What kind of organization is  Last Chance for Animals  '
LOC,'What is the nickname for the state of Mississippi '
DESC,'What does  antidisestablishmentarianism  mean '
ENTY,'How do you say I love you in Spanish '
NUM,'How many bytes are in a terabyte '
DESC,'What is the Golden Rule '
DESC,'How do I find out what cities are in a certain area code '
HUM,'Who has more DNA - a man or a woman '
HUM,'Who played the father on  Charles in Charge  '
HUM,'Who first broke the sound barrier '
NUM,'What is the current population for these countries : France '
ENTY,'What is a common anti-AIDS drug '
DESC,'What is dry ice '
DESC,'What is white chocolate '
ENTY,'What molecules include fluorine '
ENTY,'What was the name of Sergeant Preston of the Yukon s lead dog '
DESC,'What kind of greeting is appropriate to send on Yom Kippur '
DESC,'What happens when lightning strikes a body of water '
DESC,'What are liver enzymes '
HUM,'Which of these are authors '
ENTY,'What is the organizational structure of the New Delhi Indira Gandhi airport '
ENTY,'What was George Washington afraid of '
ENTY,'What was the name of the flight that Fawaz Younis hijacked '
ENTY,'What other name were the  Little Rascals  known as '
HUM,'What National Basketball Association superstar told his story in Giant Steps '
NUM,'How many e-commerce companies are started every day '
NUM,'How long has LL Cool J been married '
ENTY,'What is Jell-O made from '
DESC,'What exactly '
LOC,'What state in the US has the most blacks '
HUM,'What international organization was founded by Clara Barton '
ABBR,'What does A&W of root beer fame stand for '
HUM,'What was the name of the Titanic s captain '
LOC,'Where did the world come from '
ENTY,'What kind of puzzle first appeared in the US in the New York World on December 21 '
ENTY,'What ocean liner burned and sank in Hong Kong harbor '
HUM,'Who is Shirley MacLaine '
DESC,'How can I find out what year a Beanie Baby was introduced '
NUM,'What is the world population as of today '
ENTY,'What s the colored part of the eye called '
ENTY,'What can communications satellites offer yachts '
ENTY,'What does a heliologist study '
NUM,'How much did the minimum wage amount to in 1991 '
ENTY,'What does ribavirin consist of '
ENTY,'What meat complemented sweet potatoes and peas in the first TV dinner '
ENTY,'What gender is not allowed to vote in Kuwait '
NUM,'How many people hike '
HUM,'What comedienne calls her sister-in-law Captain Bligh and her mother-in-law Moby Dick '
ABBR,'What is AFS '
ENTY,'What did people use to freshen their breath before toothpaste '
LOC,'Where is former Pro wrestler Johnny  Rubber Man  Walker '
DESC,'What are the benefits of a rowing machine '
ENTY,'What was the name of the ball game played by the mayans '
ENTY,'What civil war was fought between 1936 and 1939 '
LOC,'What country are you visiting if you land at President Duvalier Airport '
HUM,'Who was the first person inducted into the US Swimming Hall of Fame '
ENTY,'What international amateur sports spectacle was first telecast in 1956 '
ENTY,'The operating system that runs on IBM-compatible machines is called what '
DESC,'Why are there letters on the telephone  Why are there no Q or Z '
ENTY,'What do you call a book of quotes '
ENTY,'What was John F Kennedy s 1960 campaign song '
DESC,'How did Socrates die '
ENTY,'Name the ship Beany and Cecil sailed '
ENTY,'What shampoo prevents eczema '
DESC,'What is  the computer for the rest of us  '
DESC,'What was Nine Tailors '
DESC,'How do you buy stocks '
NUM,'How long was the OJ Simpson trial '
HUM,'Who danced into stardom with Fred Astaire in 1941 s You ll Never Get Rich '
ENTY,'What film marked Robert Redford s directorial debut '
HUM,'Who won the 1967 Academy Award for Best Actor '
LOC,'Where is the massive North Korean nuclear complex located '
ENTY,'What was  America s recessed-filter cigarette  '
NUM,'How much did the first Barbie doll sell for in 1959 '
DESC,'What is a leaky heart valve '
DESC,'How do I stop background noise in a car stereo '
ENTY,'What do you call a section of your finger from one joint to another '
DESC,'What do Christian Scientists believe in '
LOC,'Where s the 19th hole on a golf course '
DESC,'What is goulash '
ENTY,'What drug is often used to treat AIDS patients '
NUM,'What was the 1940 annual salary for a boilermaker '
LOC,'What is the largest lake in North America '
NUM,'How many member states are in the UN '
HUM,'Who s the only president buried in Washington'
LOC,'Where is the Bulls basketball team based '
HUM,'Who is the famous sister of actress Olivia De Havilland '
DESC,'What is the recommended daily requirement for folic acid for pregnant women '
DESC,'What s the distinction of US Supreme Court Justice Thurgood Marshall '
LOC,'Where can one find Rider College '
HUM,'Who wrote the Bible '
DESC,'How do they raise the cranes when building high-rise buildings '
NUM,'What day of the week was July 13 '
DESC,'How do you recognize anorexia '
DESC,'What are the living conditions in Cuba '
HUM,'What is the name of the American who was captured when his plane went down over Syrian-held Lebanon '
HUM,'Which organization is the Security Council a part of '
LOC,'Where is the Valley of the Kings '
ENTY,'What food did Marco Polo introduce into Italy from the court of Kubla Khan '
LOC,'What is the name of the planet that the Ewoks live on '
LOC,'What country buys 25 percent of the world s tea exports '
ENTY,'What does a pedometer measure '
LOC,'Where can I find full written draft of CTBT '
DESC,'What was the V-8 Juice slogan :  the tastebud  '
DESC,'How do I know someone is truly in love with me '
ENTY,'What kind of sport is often associated with hooligans '
ENTY,'What is a movie that Kevin Costner made about Sioux Indians '
LOC,'What ocean did the Titanic sink in '
ENTY,'What were the trials called which followed World War II '
HUM,'Who is Samuel F Pickering '
LOC,'What is the largest island in the Mediterranean Sea '
ENTY,'What film ends with the line :  This is Mrs Norman Maine  '
HUM,'Who sought to create The Great Society '
LOC,'What state produces the best lobster to eat '
ENTY,'What is a fear of jealousy '
NUM,'How many lawyers are there in the state of New Jersey '
DESC,'Why do we call someone  honey  '
NUM,'How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 '
DESC,'How does ultraviolet light damage the DNA of skin cells '
HUM,'What s the nickname of oddsmaker Jimmy Snyder '
NUM,'When was Florida admitted into the Union '
ABBR,'What does SHIELD stand for '
HUM,'What are the top 10 colleges in the United States in the field of engineering '
ENTY,'What is the name of a book written by Aaron Hass '
HUM,'Who was Israel s first prime minister '
LOC,'Where can I buy a hat like the kind Jay Kay from Jamiroquai wears '
HUM,'What kind of business is 7-Eleven '
LOC,'Where was Christopher Columbus born '
DESC,'What is  snoogans  '
ENTY,'What is the mission of Nike '
HUM,'Who banned Peter Rose from baseball for betting on games '
DESC,'How does the Nintendo  Zapper  work '
HUM,'What are the top boy names in the US '
LOC,'What lake is the source of the White Nile '
DESC,'What is limbo '
ENTY,'What s the most commonly-spoken language in Belgium '
ENTY,'What was the name of the peace agreement imposed on Germany after World War I '
NUM,'How much did Mercury spend on advertising in 1993 '
DESC,'What is the purpose of the SysRq key on my computer keyboard '
ENTY,'What is a fear of trees '
DESC,'How can I register my website in Yahoo for free '
LOC,'Name the country which Honecker lived in '
HUM,'What college enlivens Hanover '
HUM,'Who was credited with saying :  I never met a man I did nt like  '
HUM,'What English physician was born on January 18 '
ENTY,'What disease did August von Wassermann develop a specific test for in 196 '
HUM,'Name Dick Tracy s two children '
DESC,'What do bee hives do in cranberry bogs '
NUM,'In what year did Hitler gain power of Germany '
DESC,'How do I know how much money to save for retirement '
ENTY,'What s the geographic term for the submerged fringe of a continent '
HUM,'What is the real name of disc jockey  Wolfman Jack  '
NUM,'How many pairs of legs does a lobster have '
DESC,'How can you be happy '
LOC,'What country is proud to claim Volcano National Park '
HUM,'Who invented the vacuum cleaner '
NUM,'What does an average daycare provider get paid in New England '
DESC,'What is in baby powder and baby lotion that makes it smell the way it does '
LOC,'Where is Kings Canyon '
DESC,'What is an auto-commentary '
ENTY,'What does a tarantula eat '
HUM,'What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea '
NUM,'How tall was the animated King Kong '
NUM,'What is the starting salary of a radiographer '
HUM,'What fool is not so wise To lose an oath to win a paradise '
HUM,'What football coach s story was told in the movie Run to Daylight '
HUM,'Whose image is alleged to be on The Shroud of Turin '
ENTY,'What weapon is the mythological character Apollo most proficient with '
LOC,'Where can I learn about Samuel Gompers '
NUM,'How many small businesses are there in the United States '
NUM,'When did Iraqi troops invade Kuwait '
DESC,'What is the origin and the meaning of the name '
NUM,'How many children under 18 are victims of some sort of Physical Abuse each year '
DESC,'What were the three prophecies the witches make to Macbeth '
ENTY,'What s the name of Jacques Cousteau s research ship '
HUM,'Who made Stonehenge '
DESC,'What s the difference between TFT and dual-scan display '
LOC,'What two South American countries do nt border Brazil '
NUM,'How many people own pets '
ENTY,'What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors '
LOC,'Where are there aborigines '
ENTY,'What was the education system in the 1960 s '
ENTY,'What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka '
HUM,'What organization did Mr Waverly assign agents for '
ENTY,'What is a fear of punishment '
NUM,'How many points are there on a Backgammon board '
NUM,'When was the first railroad from the east coast to the west coast completed '
HUM,'Who is Pia Zadora s millionaire husband and mentor '
LOC,'What California bay s largest island is Angel Island '
ENTY,'What John Steinbeck novel portrays the Joad family '
NUM,'What is the price for AAA s liability auto insurance '
DESC,'What function does homeostasis have on the existence of an organism '
HUM,'Who were the only two bald US Presidents '
NUM,'When was the Hoover Dam constructed '
HUM,'What explorer was nicknamed Iberia s Pilot '
NUM,'In what year did the US Marine Corps adopt the motto  Semper Fidelis  '
LOC,'What city was John F Kennedy nominated for president in '
HUM,'What actor married John F Kennedy s sister '
DESC,'How did PT Barnum bill the diminutive Charles S Stratton '
DESC,'What does the Greek word polis mean '
DESC,'What is hyperopia '
LOC,'Which city in China has the largest number of foreign financial companies '
DESC,'What s the rathaus in Frankfurt '
HUM,'Name the Ranger who was always after Yogi Bear '
ENTY,'What comic strip sometimes features a mailman named Beasley '
DESC,'What is the origin of the term soda jerk '
DESC,'What is ethology '
HUM,'What Russian composer s Prelude in C Sharp Minor brought him fame and fortune '
HUM,'Which oil company almost picked a word that meant  stalled car  in Japanese as its new international name '
ENTY,'What meter was invented by CC Magee in 1935 '
NUM,'How much was the minimum wage in 1991 '
HUM,'Who was Secretary of State during the Nixon administration '
NUM,'The Shea & Gould law firm had an office in LA for how many years '
HUM,'Whose autobiography is titled Yes I Can '
HUM,'Who was Sherlock Holmes s archenemy '
ABBR,'What does the channel ESPN stand for '
NUM,'How many disks does each player have in a four-handed game of Crokinole '
DESC,'What is the economic impact of unemployment on the economy '
HUM,'What presidential press secretary dismissed Watergate as a third-rate burglary attempt '
HUM,'Which team won the Super Bowl in 1968 '
NUM,'When was the Triangle Shirtwaist fire '
ENTY,'What is predicted to topple over between 2010 and 2020 '
DESC,'What is the difference between the anus and the rectum '
LOC,'Which country is known as  Big Bear  '
DESC,'What does verdandi mean '
ENTY,'What product features a frog that says  dig em  '
LOC,'What California bridge was Don Brown the first to cross '
LOC,'In what city is the US Declaration of Independence located '
DESC,'What did Mighty Mouse always sing as he went into action '
NUM,'How many feet long is a baseball pitcher s rubber '
LOC,'What city is terrorized by Dracula in The Night Stalker '
ENTY,'What were first used by John L Sullivan and James J Corbett in 1892 '
ENTY,'Which breakfast cereal brought you  the best each morning  '
LOC,'Where do the Blackhawks maintain their operations '
HUM,'Which of the Seven Dwarfs comes first alphabetically '
HUM,'What former major-league left-handed baseball pitcher was known as  Space Man  '
NUM,'What is Columbia Tristar s phone number '
NUM,'What is the average age of a member of the team that worked on the Manhatten Project '
DESC,'How do you write a book report '
DESC,'How can I find out my biorhythm '
LOC,'What is the largest city on the Great Lakes '
DESC,'Why is the grass green '
DESC,'Why are the US presidential elections held in November '
HUM,'What father and son won the Medal of Honor '
LOC,'What famed wall supports the Badaling turret '
DESC,'How can I get a CCT diagram '
ENTY,'What is 55 times sweeter than cane sugar '
NUM,'How many hands does Bjorn Borg use when hitting his forehand '
LOC,'What state has the longest Great Lakes shoreline '
HUM,'Who shot Lee Harvey Oswald '
NUM,'How many small businesses are there in the US '
ENTY,'What sport features snatches and clean jerks '
HUM,'Who was the 16th President of the United States '
DESC,'How do they type Chinese characters on a keyboard '
NUM,'What was the date of Iraq s invasion of Kuwait '
HUM,'Which company created the Internet browser Mosaic '
DESC,'How does a scientific calculator work '
HUM,'What President lived at 219 North Delaware Street '
NUM,'What is the size of Argentina '
HUM,'What boxer s life story is titled Raging Bull '
DESC,'What s the proud claim to fame of the young women who formed Kappa Alpha Theta '
LOC,'What California desert is dubbed High Desert '
NUM,'When do you plant winter wheat '
HUM,'Who was Maria Theresa '
NUM,'How long does it take for your blood to make one complete trip through the body '
LOC,'What country are Godiva chocolates from '
DESC,'Why did the world enter a global depression in 1929 '
ENTY,'What does the technique called  cold fusion  produce '
DESC,'How do plants make food '
ENTY,'What will a kid eat the middle of '
ENTY,'What was the name of the television show '
NUM,'How many millimeters are in a mile '
ENTY,'What colors is magenta made of '
DESC,'What is e-commerce '
ENTY,'What was the name of the famous battle between Texas and Mexico '
LOC,'Where can I find a list of  classic  books 5th and 6th graders should read '
ENTY,'What s the name of the tiger that advertises for Frosted Flakes cereal '
ENTY,'What is a fear of thunder '
ENTY,'What constitutes an adult '
HUM,'Who has won the most Super Bowls '
NUM,'How many people lived in Nebraska in the mid 1900s '
LOC,'What is the snowiest city in the US '
DESC,'What is witch hazel '
HUM,'Who thought he d never see a poem lovely as a tree '
DESC,'What is a dental root canal '
HUM,'Who is Peter Weir '
HUM,'Who took the toys donated for the Doodyville Orphans  Fund and kept them for himself '
HUM,'What was the infamous pseudonym of Peter Sutcliffe '
NUM,'How many Stradivarius violins were ever made '
ENTY,'What is the name given to the Islamic counterpart of the Red Cross '
HUM,'What two New York Yankee pitchers swapped wives and families '
DESC,'What is the difference between a preface and a foreword '
NUM,'When does menstruation begin '
LOC,'What island group is Guadalcanal a part of '
ENTY,'What kind of creatures are the Canary Islands named for '
ENTY,'What kind of dog is Scooby Doo '
LOC,'Where is Glasgow '
ENTY,'What color is  ash  '
HUM,'Who was the actor who played Sam in the movie Casablanca '
HUM,'What terrorist group was headed by Donald DeFreeze '
HUM,'Name the fast food chain with the golden arches '
NUM,'What day is known as the  national day of prayer  '
HUM,'Who were the Picts '
DESC,'What is idealab ! '
HUM,'Who headed Hitler s infamous Gestapo '
DESC,'What does hazmat stand for '
ENTY,'What is the second hardest substance '
ENTY,'What plant is rum made from '
ENTY,'What were the achievements of Richard Nixon '
DESC,'What nuclear process takes place in an H-bomb '
ENTY,'What product did Robert Conrad dare people to knock off his shoulder '
HUM,'What 1920s cowboy star rode Tony the Wonder Horse '
HUM,'Who portrayed Etta Place '
HUM,'What task does the Bouvier breed of dog perform '
HUM,'Who took over as conductor of the Boston Pops after Arthur Fiedler s long reign '
ENTY,'Madonna advertises for what soft drink '
DESC,'What is a biologist '
NUM,'How many bottles of wine were prisoners in the Bastille allowed per day '
ENTY,'What was the name of Captain Bligh s ship '
NUM,'What phone number can I call to have a tree planted '
NUM,'What is Maurizio Pellegrin s age '
DESC,'What is the use of a 24-hour clock instead of a 12-hour clock '
LOC,'Where are zebras most likely found '
LOC,'Where is the biggest bell '
ENTY,'What is the formula to calculate pi '
HUM,'What was the name of the lawyer who represented Randy Craft '
NUM,'How many people are there in the world '
NUM,'When was the Big Thompson flood '
LOC,'What country did the Mau Mau Uprising take place in '
HUM,'What barroom judge called himself The Law West of the Pecos '
NUM,'In what year did the Bounty mutiny happen '
ENTY,'What war was fought by the Spanish as far as the Philippines '
HUM,'What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat '
ENTY,'What product  doubles your pleasure '
DESC,'What is the origin of the midwest slang '
HUM,'What NFL team did Vince Lombardi end his coaching career with '
LOC,'What are the Benelux countries '
ENTY,'What scale measures earthquakes '
LOC,'What city is served by Tempelhol Airport '
HUM,'Who played the original Charlie s Angels '
NUM,'What is the federal minimum wage '
NUM,'How many dots make up the symbol for  because  '
HUM,'What was the backup singing group for Roy Rogers '
DESC,'Why does it say on children s cough syrup not to drive while using this medication '
DESC,'What are some fun things to do in Cozumel '
DESC,'Why can t you taste anything when you have a cold '
ENTY,'What s the world s most common compound '
NUM,'When did Rococo painting and architecture flourish '
LOC,'What s the capital of Iowa '
LOC,'Where can I find a review of Nightmare on Elm Street in a film journal '
HUM,'Who is the French literary charcter who is chiefly famous for his enormous nose '
DESC,'What is saltpeter '
DESC,'How do you calculate the change in enthalpy of a chemical reaction '
ENTY,'What disease does Katharine Hepburn have that makes her voice shake '
LOC,'What US state has the most blondes '
LOC,'What New England state covers 59 square miles '
LOC,'What South Korean city is served by Kimpo International Airport '
HUM,'What are names of two old men who appear in the serial tv Muppets Show '
ENTY,'What was the Bridge of San Luis Rey made of '
LOC,'What is the state nickname of Mississippi '
NUM,'How much of the silver production is manufactured by independent silversmiths '
NUM,'What is the temperature for cooking '
LOC,'Where is Burma '
LOC,'Where is the largest dam in the world '
ENTY,'What is a fear of food '
LOC,'Where did Luther display his  Ninety-Five Theses  '
ENTY,'What were the names of the three ships used by Columbus '
DESC,'How do they find or choose witnesses to an execution '
HUM,'What apostle is Taylor Caldwell s Great Lion of God '
NUM,'How many quarts of whole milk is needed to make one pound of butter '
NUM,'What month did the Edmund Fitzgerald sink '
NUM,'How many stations do you shoot from in the basketball game  Around the World  '
ENTY,'What was originally defined as one 1-millionth of the distance from the equator to the Pole '
LOC,'What country surrounds San Marino '
HUM,'In what high-risk business venture did Jimmy the Greek bet and lose '
ENTY,'What were the first frozen foods '
ENTY,'What British TV series inspired All in the Family '
DESC,'What does an echidna look like '
HUM,'What was the player s name who played nose tackle for the Eagles in Super Bowl XV '
HUM,'What college did Joe Namath play football for '
NUM,'What time of day did Emperor Hirohito die '
DESC,'How is the election of a new Pope announced to the world '
LOC,'What US state has the second-longest coastline '
ENTY,'What was the worst hurricane '
ENTY,'What are the rites accompanying the circumcision of a newly born-child in Judaism called '
HUM,'Who portrayed WC Fields in the film WC Fields and Me '
LOC,'Where did the Japanese Imperial Forces surrender to end WWII '
ABBR,'What does VCR stand for '
NUM,'What year was the Avery Dennison company founded '
ENTY,'In Kafka s Metamorphosis '
DESC,'How do you find oxidation numbers '
HUM,'What title did Shevardnadze have during the Soviet era '
LOC,'What city has the two steepest streets in the US '
NUM,'How much folic acid should an expectant mother get daily '
HUM,'What was the name of Darth Vader s son '
NUM,'How many points is a disk in the center hole worth in Crokinole '
DESC,'What is Greek pita '
LOC,'What general direction does the journey in Around the World in 80 Days proceed in '
ENTY,'What is the most famous German word in the English language '
HUM,'Who invented Astroturf '
ENTY,'What is the movie Jonathan Livingstone Seagull '
NUM,'How many blacks served in the Vietnam War'
DESC,'How can I find out my Moon sign '
LOC,'What is the largest office block in the world '
LOC,'Where can I buy movies on videotape online '
LOC,'On what continent is Mozambique '
HUM,'What was Darth Vader s son named '
HUM,'Saddam Hussein was compared to whom by President Bush '
LOC,'What river flows past the Temple of Karnak '
LOC,'What country s capital is Tirana '
NUM,'How many people have died of tuberculosis '
ENTY,'What is the smallest thing seen under the most powerful microscope '
ENTY,'What was Hitler s favorite movie '
LOC,'Where does the weird shape of the dinner fish knife originate from '
DESC,'What is the difference between optical and digital video '
DESC,'How did former WWF wrestler Rick Rude die '
ENTY,'Mississippi is nicknamed what '
NUM,'How many astronauts manned each Project Mercury flight '
NUM,'What s the American dollar equivalent for 8 pounds in the UK '
HUM,'What is the name of actor Rex Harrison s son '
HUM,'What baseball player was walked the most times '
DESC,'How do hermit crabs reproduce '
NUM,'In what year did Joe DiMaggio compile his 56-game hitting streak '
HUM,'What radio station did Paul Harvey work for '
HUM,'Who discovered electricity '
HUM,'Who was the oldest US president '
NUM,'What is the population of Kansas '
DESC,'What is Australia Day '
DESC,'Why did the chicken cross the road '
NUM,'What is the latitude and longitude of El Paso '
HUM,'What TV detective did Craig Stevens play '
ENTY,'What was the name of the horse that fell on Queen Elizabeth '
ENTY,'What program do I need to run a tbk file '
LOC,'Where did Honecker rule '
ENTY,'What is the most efficient way to start a barbeque '
HUM,'What South African producer had a 1988 profit of $836 million '
HUM,'Who was the first X-Man to die in battle '
NUM,'How many people die from snakebite poisoning in the US per year '
